StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q5,Q17,Q6,Q6_7_TEXT,Q21,Q10,Q11,Q22,Q29,Q30,Q31,Q32,FL_18_DO,FL_19_DO
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_RecaptchaScore,Please tick to confirm your consent:,How old are you (years)?,How would you best describe your gender? - Selected Choice,How would you best describe your gender? - Prefer to describe in another way - Text,How humorous (funny) would you rate the review?,How would you rate the spelling and grammar within the review?,How valuable did you find the review?,How likely do you think you are to purchase this book?,How humorous (funny) would you rate the review?,How would you rate the spelling and grammar within the review?,How valuable did you find the review?,How likely do you think you are to purchase this vacuum?,FL_18 - Block Randomizer - Display Order,FL_19 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID6_7_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID25""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""FL_18_DO""}","{""ImportId"":""FL_19_DO""}"
2024-06-14 11:55:56,2024-06-14 11:57:33,Survey Preview,100,96,True,2024-06-14 11:57:33,R_2eRA8mG6wQAhGnZ,preview,EN,,I consent,,,,,,,,,,,,,
2024-06-14 14:01:34,2024-06-14 14:03:08,Survey Preview,100,93,True,2024-06-14 14:03:09,R_2DhqIk7kWUx2J1v,preview,EN,,I consent,,,,,,,,,,,,,
2024-06-17 09:22:13,2024-06-17 09:23:32,Survey Preview,100,78,True,2024-06-17 09:23:32,R_8MMuO3BN2UMKjm3,preview,EN,1,I consent,,,,,,,,,,,,notfunny/nospellingerrorsBOOK,Funny/noerrorsVACUUM
2024-06-20 05:35:04,2024-06-20 05:36:56,Survey Preview,100,111,True,2024-06-20 05:36:56,R_2rcBUNOr6VzZtkt,preview,EN,1,I consent,,,,,,,,,,,,Notfunny/spellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-06-26 11:25:13,2024-06-26 11:37:20,Survey Preview,100,727,True,2024-06-26 11:37:21,R_8PH4QtJtqxChnuV,preview,EN,1,I consent,,,,,,,,,,,,FunnybutnospellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
2024-06-26 11:49:42,2024-06-26 11:52:48,Survey Preview,100,186,True,2024-06-26 11:52:48,R_8DinTRnK36KMsA9,preview,EN,1,I consent,,,,,,,,,,,,FunnybutspellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-04 12:54:52,2024-07-04 13:35:38,IP Address,100,2445,True,2024-07-04 13:35:38,R_8NEXl5K3MOF1p4M,qr,EN,,I consent,26,Male,,3,"1
Very poor","1
Not at all valuable","1
Not at all likely","1
Not at all humorous",5,6,5,FunnybutspellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
2024-07-04 16:28:13,2024-07-04 16:32:50,IP Address,100,276,True,2024-07-04 16:32:50,R_829J6lCyIrbBBVK,qr,EN,1,I consent,23,Male,,4,5,5,5,6,6,"7
Very valuable",6,notfunny/nospellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-04 16:33:49,2024-07-04 16:35:15,IP Address,100,85,True,2024-07-04 16:35:16,R_2EhWHjghFsgrFfq,qr,EN,1,I consent,23,Male,,5,6,5,5,6,6,"7
Very valuable","7
Very likely",FunnybutnospellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-07-08 06:15:26,2024-07-08 06:17:23,IP Address,100,117,True,2024-07-08 06:17:24,R_27D7lzLi2AIbxjW,anonymous,EN,1,I consent,35,Male,,,,,,,,,,notfunny/nospellingerrorsBOOK,Funny/noerrorsVACUUM
2024-07-08 05:50:45,2024-07-08 06:18:18,IP Address,100,1653,True,2024-07-08 06:18:19,R_811TdpaaRAYqtEt,anonymous,EN,1,I consent,,Female,,"1
Not at all humorous",2,3,"1
Not at all likely",,,,,Notfunny/spellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-08 06:18:57,2024-07-08 06:19:45,IP Address,100,48,True,2024-07-08 06:19:45,R_8sZqTbOMftTojzh,anonymous,EN,1,I consent,,,,,,,,,,,,FunnybutspellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-07-08 07:47:26,2024-07-08 07:51:33,IP Address,100,247,True,2024-07-08 07:51:34,R_8Hk8Axi29AhuaIg,anonymous,EN,1,I consent,24,Male,,6,5,"7
Very valuable",2,2,6,"7
Very valuable","7
Very likely",Notfunny/spellingerrorsBOOK,Funny/noerrorsVACUUM
2024-07-08 08:49:39,2024-07-08 08:50:58,IP Address,100,79,True,2024-07-08 08:50:59,R_2YZsYAIzWcGSj3r,anonymous,EN,1,I consent,25,Male,,"7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely","7
Extremely humorous",6,5,"7
Very likely",FunnybutspellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-08 09:04:30,2024-07-08 09:06:46,IP Address,100,136,True,2024-07-08 09:06:47,R_4hsdwZtN24w1cZE,anonymous,EN,1,I consent,24,Male,,"7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely","7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely",FunnybutnospellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
2024-07-08 09:22:48,2024-07-08 09:31:45,IP Address,100,536,True,2024-07-08 09:31:45,R_8Zj1VqsRVLSZGeJ,anonymous,EN,1,I consent,25,Male,,6,5,6,6,3,"1
Very poor",3,3,notfunny/nospellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-07-08 15:37:44,2024-07-09 12:23:38,IP Address,100,74754,True,2024-07-09 12:23:39,R_8otlYU7y2uJyj3b,anonymous,EN,1,I consent,61,Female,,4,4,"1
Not at all valuable","1
Not at all likely","1
Not at all humorous",3,3,3,FunnybutspellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
2024-07-09 14:34:02,2024-07-09 14:36:33,IP Address,100,151,True,2024-07-09 14:36:33,R_2rpg86rWOknoVNv,anonymous,EN,1,I consent,27,Female,,"1
Not at all humorous",4,4,2,3,"1
Very poor",3,4,notfunny/nospellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-07-11 14:51:11,2024-07-11 14:56:56,IP Address,100,345,True,2024-07-11 14:56:56,R_8Lj2XIdY5d2mCgM,anonymous,EN,1,I consent,52,Male,,3,4,4,4,5,4,5,5,notfunny/nospellingerrorsBOOK,Funny/noerrorsVACUUM
2024-07-13 05:43:33,2024-07-13 05:46:19,IP Address,100,165,True,2024-07-13 05:46:19,R_8GI8MCG2f5zjuyy,qr,EN,1,I consent,,Male,,"7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely","7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely",FunnybutspellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-14 03:01:40,2024-07-14 03:16:06,IP Address,100,865,True,2024-07-14 03:16:07,R_8jXIuL2aL4YkvUB,qr,EN,1,I consent,31,Male,,"1
Not at all humorous",3,2,"1
Not at all likely",3,"7
Very good",6,6,Notfunny/spellingerrorsBOOK,Funny/noerrorsVACUUM
2024-07-08 06:19:51,2024-07-15 03:10:46,IP Address,100,593455,True,2024-07-15 03:10:47,R_8CgacUJg3r7Oqbj,anonymous,EN,1,I consent,30,Male,,,,,,,,,,FunnybutnospellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
2024-07-08 05:56:47,2024-07-08 05:57:33,IP Address,21,46,False,2024-07-15 05:57:38,R_2eWnTAJCl0QOulo,anonymous,EN,1,I consent,,,,,,,,,,,,,
2024-07-08 07:38:36,2024-07-08 07:39:07,IP Address,8,31,False,2024-07-15 07:39:09,R_2qaN5cWzQ0A017N,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-08 07:42:36,2024-07-08 07:42:52,IP Address,4,15,False,2024-07-15 07:42:54,R_80Ac2hb3aJb2VDX,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-08 08:02:07,2024-07-08 08:03:10,IP Address,21,63,False,2024-07-15 08:03:16,R_8d4iBb5Xb8PFqJV,anonymous,EN,1,I consent,,,,,,,,,,,,,
2024-07-08 11:06:25,2024-07-08 11:06:49,IP Address,13,24,False,2024-07-15 11:06:53,R_2Si3VKYFjMHdUQH,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-08 11:26:08,2024-07-08 11:27:09,IP Address,42,60,False,2024-07-15 11:27:12,R_8Le8Wr0Ktuoe9Z4,anonymous,EN,1,I consent,27,Male,,,,,,,,,,Notfunny/spellingerrorsBOOK,
2024-07-08 11:51:43,2024-07-08 11:52:48,IP Address,4,65,False,2024-07-15 11:52:49,R_88mH2kmUwF2BKsV,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-08 13:15:55,2024-07-08 13:17:45,IP Address,8,109,False,2024-07-15 13:17:51,R_8pnUij9nUShy1Oy,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-08 15:47:11,2024-07-08 15:47:27,IP Address,4,15,False,2024-07-15 15:47:36,R_8GKTtnNUDa0hXjj,anonymous,EN,1,,,,,,,,,,,,,,
2024-07-15 03:10:55,2024-07-16 13:12:54,IP Address,100,122518,True,2024-07-16 13:12:55,R_4CeNaZyzOXbzCrQ,anonymous,EN,1,I consent,30,Male,,"7
Extremely humorous","7
Very good","7
Very valuable","7
Very likely",,,,,FunnybutspellingerrorsBOOK,funny/spellingerrorsVACUUM
2024-07-16 13:12:59,2024-07-16 13:51:38,IP Address,100,2318,True,2024-07-16 13:51:39,R_23TZN6hq7CQYCwg,anonymous,EN,1,I consent,,,,,,,,,,,,FunnybutnospellingerrorsBOOK,NOTFUNNY/ERRORSVACUUM
2024-07-17 08:35:47,2024-07-17 09:58:07,IP Address,100,4939,True,2024-07-17 09:58:07,R_2oO7LxwqBNoorN9,anonymous,EN,1,I consent,,,,,,,,,,,,FunnybutspellingerrorsBOOK,NOTFUNNY/NOERRORSVACUUM
